yyymmroc,field_2,field_3,field_4_quantity,field_5_dollartwd,field_6_dollartwd
10201,三鶯分處,三峽區,401,251763076,14460197
10201,三鶯分處,鶯歌區,129,37219757,2227534
10201,汐止分處,汐止區,825,401707426,24102390
10201,板橋分處,板橋區,974,455803826,26938417
10201,總處,樹林區,291,166177049,9970607
10201,總處,土城區,337,110644396,6638648
10201,三重分處,蘆洲區,276,79907524,4772293
10201,三重分處,三重區,547,184563588,10780014
10201,淡水分處,金山區,58,2382444,142918
10201,淡水分處,萬里區,26,5543675,332620
10201,淡水分處,淡水區,1036,487011826,28809782
10201,淡水分處,三芝區,61,12500529,750027
10201,淡水分處,石門區,2,268300,16098
10201,淡水分處,八里區,205,278740955,16724449
10201,新店分處,新店區,652,313074519,18728599
10201,新店分處,石碇區,8,1825900,109554
10201,新店分處,深坑區,39,10220134,613208
10201,新店分處,坪林區,2,49079,2944
10201,新店分處,烏來區,1,51500,3090
10201,瑞芳分處,瑞芳區,32,5278323,316698
10201,瑞芳分處,平溪區,0,0,0
10201,瑞芳分處,雙溪區,5,351000,21060
10201,瑞芳分處,貢寮區,4,324820,19489
10201,中和分處,中和區,946,471012879,28152336
10201,中和分處,永和區,435,228421155,13701598
10201,新莊分處,新莊區,959,471847126,27805771
10201,新莊分處,五股區,121,66332162,3979924
10201,新莊分處,泰山區,106,36421920,2185307
10201,林口分處,林口區,778,628752255,36688150
10202,三鶯分處,三峽區,170,94434117,5663201
